state,switch,mode,margin,n,level,stat,p,pm
NM,switch,crop discontinuation,user's accuracy,6847,state,mean,0.7301330886513652,0.790437600162339
NM,switch,crop discontinuation,producer's accuracy,6847,state,mean,0.6740687555740861,0.790437600162339
NM,switch,crop introduction,user's accuracy,8150,state,mean,0.7290948408817031,0.790437600162339
NM,switch,crop introduction,producer's accuracy,8150,state,mean,0.6875967402475933,0.790437600162339
NM,no switch,crop discontinuation,user's accuracy,46041,state,mean,0.8422656583368933,0.790437600162339
NM,no switch,crop discontinuation,producer's accuracy,46041,state,mean,0.8502791351776454,0.790437600162339
NM,no switch,crop introduction,user's accuracy,44738,state,mean,0.838529672913978,0.790437600162339
NM,no switch,crop introduction,producer's accuracy,44738,state,mean,0.8422520003214072,0.790437600162339
NM,overall,crop discontinuation,user's accuracy,52888,state,mean,0.7681616230050863,0.790437600162339
NM,overall,crop discontinuation,producer's accuracy,52888,state,mean,0.7823958722829035,0.790437600162339
NM,overall,crop introduction,user's accuracy,52888,state,mean,0.7510591732271904,0.790437600162339
NM,overall,crop introduction,producer's accuracy,52888,state,mean,0.7606027181470512,0.790437600162339
NM,switch,crop discontinuation,user's accuracy,6847,state,median,0.7522933325752431,0.790437600162339
NM,switch,crop discontinuation,producer's accuracy,6847,state,median,0.7107030312109814,0.790437600162339
NM,switch,crop introduction,user's accuracy,8150,state,median,0.7320574386180408,0.790437600162339
NM,switch,crop introduction,producer's accuracy,8150,state,median,0.7135445814339436,0.790437600162339
NM,no switch,crop discontinuation,user's accuracy,46041,state,median,0.8604076207369461,0.790437600162339
NM,no switch,crop discontinuation,producer's accuracy,46041,state,median,0.8635558224461253,0.790437600162339
NM,no switch,crop introduction,user's accuracy,44738,state,median,0.8556267215961237,0.790437600162339
NM,no switch,crop introduction,producer's accuracy,44738,state,median,0.8583009554718896,0.790437600162339
NM,overall,crop discontinuation,user's accuracy,52888,state,median,0.8427518106813828,0.790437600162339
NM,overall,crop discontinuation,producer's accuracy,52888,state,median,0.8491324813165526,0.790437600162339
NM,overall,crop introduction,user's accuracy,52888,state,median,0.833420959818979,0.790437600162339
NM,overall,crop introduction,producer's accuracy,52888,state,median,0.8422683692230253,0.790437600162339
MA,switch,crop discontinuation,user's accuracy,162,state,mean,0.8525216427140155,0.819376754230325
MA,switch,crop discontinuation,producer's accuracy,162,state,mean,0.7835221819244665,0.819376754230325
MA,switch,crop introduction,user's accuracy,88,state,mean,0.7647521583511203,0.819376754230325
MA,switch,crop introduction,producer's accuracy,88,state,mean,0.6851536840742509,0.819376754230325
MA,no switch,crop discontinuation,user's accuracy,1310,state,mean,0.8151950763387232,0.819376754230325
MA,no switch,crop discontinuation,producer's accuracy,1310,state,mean,0.7964576481667541,0.819376754230325
MA,no switch,crop introduction,user's accuracy,1384,state,mean,0.8211680863644618,0.819376754230325
MA,no switch,crop introduction,producer's accuracy,1384,state,mean,0.7905288557040212,0.819376754230325
MA,overall,crop discontinuation,user's accuracy,1472,state,mean,0.7417099482907996,0.819376754230325
MA,overall,crop discontinuation,producer's accuracy,1472,state,mean,0.7326283462137801,0.819376754230325
MA,overall,crop introduction,user's accuracy,1472,state,mean,0.7861402456477695,0.819376754230325
MA,overall,crop introduction,producer's accuracy,1472,state,mean,0.7620913125651028,0.819376754230325
MA,switch,crop discontinuation,user's accuracy,162,state,median,0.9123684887680898,0.819376754230325
MA,switch,crop discontinuation,producer's accuracy,162,state,median,0.8386209499601573,0.819376754230325
MA,switch,crop introduction,user's accuracy,88,state,median,0.7918877416084136,0.819376754230325
MA,switch,crop introduction,producer's accuracy,88,state,median,0.6783508945152315,0.819376754230325
MA,no switch,crop discontinuation,user's accuracy,1310,state,median,0.9104651463585111,0.819376754230325
MA,no switch,crop discontinuation,producer's accuracy,1310,state,median,0.8725273868101653,0.819376754230325
MA,no switch,crop introduction,user's accuracy,1384,state,median,0.9107016107121304,0.819376754230325
MA,no switch,crop introduction,producer's accuracy,1384,state,median,0.8710651157995771,0.819376754230325
MA,overall,crop discontinuation,user's accuracy,1472,state,median,0.9050942631119343,0.819376754230325
MA,overall,crop discontinuation,producer's accuracy,1472,state,median,0.8674840216873922,0.819376754230325
MA,overall,crop introduction,user's accuracy,1472,state,median,0.9068233892632684,0.819376754230325
MA,overall,crop introduction,producer's accuracy,1472,state,median,0.8677839065776615,0.819376754230325
GA,switch,crop discontinuation,user's accuracy,18167,state,mean,0.7724070200595643,0.8253613894516724
GA,switch,crop discontinuation,producer's accuracy,18167,state,mean,0.6751243321254545,0.8253613894516724
GA,switch,crop introduction,user's accuracy,13630,state,mean,0.7284322776730233,0.8253613894516724
GA,switch,crop introduction,producer's accuracy,13630,state,mean,0.6631022026960885,0.8253613894516724
GA,no switch,crop discontinuation,user's accuracy,117273,state,mean,0.8867530334550566,0.8253613894516724
GA,no switch,crop discontinuation,producer's accuracy,117273,state,mean,0.8854018418857753,0.8253613894516724
GA,no switch,crop introduction,user's accuracy,121810,state,mean,0.8957979716412482,0.8253613894516724
GA,no switch,crop introduction,producer's accuracy,121810,state,mean,0.899773080441249,0.8253613894516724
GA,overall,crop discontinuation,user's accuracy,135440,state,mean,0.7983377891239865,0.8253613894516724
GA,overall,crop discontinuation,producer's accuracy,135440,state,mean,0.8102166749981348,0.8253613894516724
GA,overall,crop introduction,user's accuracy,135440,state,mean,0.8329785807806938,0.8253613894516724
GA,overall,crop introduction,producer's accuracy,135440,state,mean,0.8431281446086882,0.8253613894516724
GA,switch,crop discontinuation,user's accuracy,18167,state,median,0.7997318951087267,0.8253613894516724
GA,switch,crop discontinuation,producer's accuracy,18167,state,median,0.6346489874324813,0.8253613894516724
GA,switch,crop introduction,user's accuracy,13630,state,median,0.7370999147877286,0.8253613894516724
GA,switch,crop introduction,producer's accuracy,13630,state,median,0.6210644519598412,0.8253613894516724
GA,no switch,crop discontinuation,user's accuracy,117273,state,median,0.912574434617624,0.8253613894516724
GA,no switch,crop discontinuation,producer's accuracy,117273,state,median,0.9245995772301406,0.8253613894516724
GA,no switch,crop introduction,user's accuracy,121810,state,median,0.9135309234492709,0.8253613894516724
GA,no switch,crop introduction,producer's accuracy,121810,state,median,0.9267754296827027,0.8253613894516724
GA,overall,crop discontinuation,user's accuracy,135440,state,median,0.9025799195833649,0.8253613894516724
